Fecha;Dia;Semana;Mes;Año;Hora;Clave ;RADIACION Irradiación normal (MWh/m^2);Temperature C;Relative Humidity % ;Precipitation Water mm;Wind Speed (Velocidad del viento)  m/s;Wind Direction (Direccion del Viento) (deg); Termica MWh (unidad 9);"Fotovoltáica
MWh";Turistas;Energia Mwh
1/1/2022;sábado;1;1;2022;0:00:00;sábado/1/1/2022/0;0;21,83;86,56;0;5,6;201,95;3,464;0;0;0,00001
1/1/2022;sábado;1;1;2022;1:00:00;sábado/1/1/2022/1;0;21,74;86,94;0;5,42;204,87;3,387;0;0;0,00001
1/1/2022;sábado;1;1;2022;2:00:00;sábado/1/1/2022/2;0;21,65;87,56;0;5,03;204,3;3,263;0;0;0,00001
1/1/2022;sábado;1;1;2022;3:00:00;sábado/1/1/2022/3;0;21,58;88;0;4,75;202,52;3,156;0;0;0,00019
1/1/2022;sábado;1;1;2022;4:00:00;sábado/1/1/2022/4;0;21,56;88,31;0;4,61;200,34;3,058;0;0;0,00001
1/1/2022;sábado;1;1;2022;5:00:00;sábado/1/1/2022/5;0;21,54;88,69;0;4,54;197,22;2,948;0;0;0,00016
1/1/2022;sábado;1;1;2022;6:00:00;sábado/1/1/2022/6;0,000119;21,59;88,69;0;4,58;194,32;2,873;0;0;0,00016
1/1/2022;sábado;1;1;2022;7:00:00;sábado/1/1/2022/7;0,000479;21,77;87,69;0;4,63;192,47;3,017;5,57;0;0,00016
1/1/2022;sábado;1;1;2022;8:00:00;sábado/1/1/2022/8;0,000647;22;86,25;0;4,69;191,14;3,153;38,536;0;0,00016
1/1/2022;sábado;1;1;2022;9:00:00;sábado/1/1/2022/9;0,000724;22,23;85,12;0;4,59;189,7;3,264;58,663;25;0,0053
1/1/2022;sábado;1;1;2022;10:00:00;sábado/1/1/2022/10;0,000807;22,44;84,44;0;4,38;189,14;3,354;77,995;25;0,0053
1/1/2022;sábado;1;1;2022;11:00:00;sábado/1/1/2022/11;0,000808;22,6;83,75;0;4,27;188,52;3,464;84,665;25;0,0053
1/1/2022;sábado;1;1;2022;12:00:00;sábado/1/1/2022/12;0,000874;22,69;83,31;0;4,24;185,5;3,53;89,055;25;0,0053
1/1/2022;sábado;1;1;2022;13:00:00;sábado/1/1/2022/13;0,000803;22,76;82,94;0;4,15;180,11;3,559;83,63;25;0,0053
1/1/2022;sábado;1;1;2022;14:00:00;sábado/1/1/2022/14;0,000769;22,78;82,75;0;4,04;175,79;3,601;80,394;25;0,0053
1/1/2022;sábado;1;1;2022;15:00:00;sábado/1/1/2022/15;0,000651;22,76;82,94;0;3,95;173,3;3,673;70,251;0;0,00031
1/1/2022;sábado;1;1;2022;16:00:00;sábado/1/1/2022/16;0,000627;22,74;83,06;0;3,95;171,92;3,813;47;0;0,00032
1/1/2022;sábado;1;1;2022;17:00:00;sábado/1/1/2022/17;0,000078;22,67;83,38;0;4,07;173,61;4,183;17,456;0;0,00026
1/1/2022;sábado;1;1;2022;18:00:00;sábado/1/1/2022/18;0;22,58;83,88;0;4,27;177,48;4,442;1,108;0;0,00032
1/1/2022;sábado;1;1;2022;19:00:00;sábado/1/1/2022/19;0;22,51;84,75;0;4,46;181,81;4,444;0;0;0,00035
1/1/2022;sábado;1;1;2022;20:00:00;sábado/1/1/2022/20;0;22,43;85,69;0;4,59;184,88;4,28;0;0;0,00038
1/1/2022;sábado;1;1;2022;21:00:00;sábado/1/1/2022/21;0;22,35;86,44;0,01;4,46;185,22;4,027;0;0;0,00027
1/1/2022;sábado;1;1;2022;22:00:00;sábado/1/1/2022/22;0;22,27;87,06;0,01;4,3;188,04;3,712;0;0;0,00022
